deadbeat		游手好闲者；非周期的
deadpan			面无表情的，不动神色的，故作严肃的
deadweight		自重，总重量
dealation		脱翅昆虫
death camp		死亡集中营
death squad		杀人小队，敢死队
death trap		危险建筑
debacle			大灾难，完全的失败，猛烈的解冻，暴动
rout			暴动，灾难级的失败；彻底击败，使完全混乱，驱散（烦恼）
shard			鞘翅
slippery		光滑的，狡猾的，不稳定的，模棱两可的
furtive			秘而不宣的，鬼鬼祟祟的 
thump			大声攻击，给予强有力的支持
linden			菩提树
vise			老虎钳
usurp			篡夺，侵占
usurpation		
arrogate		不公平地霸占或掠取，不合理地宣称拥有，代表别人宣称拥有
